person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,Male,High School,16218.0,1,Mortgage,2000.0,Personal,5.42,0.12,4.0,614,No,1
25.0,Female,Bachelor,16211.0,2,Own,1750.0,Personal,13.61,0.11,3.0,597,Yes,0
25.0,Male,High School,16378.0,0,Own,3000.0,Debtconsolidation,12.87,0.18,4.0,603,No,1
24.0,Male,Bachelor,16572.0,0,Mortgage,3650.0,Homeimprovement,9.91,0.22,3.0,589,No,1
24.0,Male,High School,16470.0,2,Mortgage,4500.0,Debtconsolidation,11.83,0.27,4.0,643,No,1
23.0,Male,High School,16599.0,0,Own,2400.0,Debtconsolidation,13.49,0.14,2.0,505,No,1
25.0,Female,Associate,16395.0,4,Own,3600.0,Medical,14.59,0.22,3.0,646,No,1
22.0,Female,Bachelor,16890.0,0,Own,4750.0,Education,11.01,0.28,3.0,645,No,1
23.0,Female,Bachelor,17149.0,0,Own,4950.0,Debtconsolidation,7.9,0.29,4.0,531,No,1
23.0,Female,High School,16916.0,2,Mortgage,1400.0,Education,9.25,0.08,4.0,615,No,0
21.0,Male,Master,16664.0,0,Own,4500.0,Venture,12.98,0.27,4.0,601,No,1
23.0,Male,High School,17755.0,1,Own,4000.0,Debtconsolidation,11.01,0.23,3.0,580,No,1
21.0,Male,Master,18008.0,0,Own,3000.0,Homeimprovement,11.01,0.17,4.0,635,No,1
22.0,Female,Bachelor,18152.0,0,Own,4000.0,Medical,10.99,0.22,3.0,585,No,1
24.0,Male,Bachelor,18294.0,2,Own,6000.0,Personal,7.49,0.33,3.0,587,No,1
25.0,Male,High School,18449.0,1,Own,5375.0,Education,5.79,0.29,2.0,645,No,1
21.0,Male,Bachelor,18064.0,0,Own,6250.0,Venture,14.72,0.35,2.0,580,No,1
21.0,Female,High School,18421.0,1,Mortgage,1500.0,Medical,11.01,0.08,4.0,623,No,0
23.0,Male,Master,18512.0,1,Own,4000.0,Homeimprovement,16.7,0.22,2.0,566,No,1
22.0,Male,Master,18367.0,0,Own,2100.0,Personal,11.14,0.11,4.0,583,No,0
23.0,Male,Master,18831.0,0,Mortgage,6000.0,Debtconsolidation,11.01,0.32,4.0,667,No,1
21.0,Male,Associate,18916.0,0,Own,6200.0,Homeimprovement,7.9,0.33,2.0,615,No,1
23.0,Female,Master,19000.0,2,Own,4475.0,Medical,11.01,0.24,4.0,647,No,1
23.0,Female,Bachelor,19175.0,1,Mortgage,1750.0,Medical,12.68,0.09,3.0,587,Yes,0
23.0,Male,High School,19062.0,2,Own,4000.0,Debtconsolidation,13.98,0.21,4.0,667,No,1
23.0,Female,Associate,18926.0,0,Own,4600.0,Venture,10.99,0.24,2.0,688,No,1
25.0,Male,High School,19158.0,4,Own,1750.0,Homeimprovement,15.31,0.09,4.0,625,Yes,0
23.0,Male,High School,19065.0,3,Mortgage,3600.0,Personal,13.47,0.19,4.0,540,No,1
21.0,Male,Master,18773.0,0,Own,3175.0,Homeimprovement,11.54,0.17,3.0,686,No,1
21.0,Female,Associate,19169.0,2,Mortgage,1500.0,Education,10.59,0.08,2.0,537,Yes,0
23.0,Female,Associate,19312.0,4,Mortgage,2800.0,Personal,8.49,0.14,3.0,661,No,1
22.0,Female,Master,18923.0,0,Own,2500.0,Homeimprovement,12.53,0.13,3.0,618,No,1
25.0,Female,Master,161894.0,0,Rent,5000.0,Medical,16.49,0.03,2.0,609,No,1
21.0,Female,High School,19414.0,2,Own,1000.0,Venture,7.29,0.05,4.0,681,Yes,0
24.0,Male,Associate,19677.0,3,Own,3300.0,Homeimprovement,6.39,0.17,4.0,637,No,1
25.0,Male,High School,19423.0,3,Own,3200.0,Venture,18.09,0.16,2.0,586,No,1
23.0,Male,Associate,20044.0,3,Own,6000.0,Medical,7.9,0.3,2.0,618,No,1
23.0,Female,Bachelor,20401.0,4,Mortgage,2275.0,Debtconsolidation,13.06,0.11,4.0,573,Yes,0
23.0,Female,High School,20421.0,0,Mortgage,5600.0,Medical,12.84,0.27,4.0,587,No,1
24.0,Male,Master,20353.0,2,Own,3625.0,Venture,17.14,0.18,2.0,648,No,1
22.0,Male,Master,20297.0,0,Mortgage,5500.0,Venture,7.14,0.27,3.0,687,No,1
22.0,Female,High School,20405.0,0,Own,2000.0,Personal,12.42,0.1,3.0,590,Yes,0
25.0,Male,Associate,20221.0,5,Own,5000.0,Personal,8.94,0.25,4.0,572,No,1
23.0,Male,Bachelor,20678.0,0,Own,4375.0,Venture,9.63,0.21,4.0,528,No,1
22.0,Male,High School,20896.0,0,Mortgage,2000.0,Education,10.65,0.1,2.0,596,No,0
25.0,Male,Master,152227.0,2,Mortgage,10000.0,Medical,14.09,0.07,4.0,639,No,1
24.0,Male,Bachelor,21627.0,0,Mortgage,3900.0,Debtconsolidation,11.01,0.18,3.0,636,No,1
22.0,Male,Associate,21205.0,0,Mortgage,4750.0,Homeimprovement,13.85,0.22,2.0,658,No,1
21.0,Male,High School,21363.0,2,Mortgage,6000.0,Venture,10.39,0.28,4.0,671,No,1
22.0,Female,Associate,22107.0,4,Mortgage,2250.0,Education,15.27,0.1,3.0,636,Yes,0
22.0,Female,Bachelor,21790.0,0,Mortgage,1000.0,Venture,11.36,0.05,2.0,686,Yes,0
22.0,Female,Associate,21824.0,0,Mortgage,4975.0,Education,11.01,0.23,3.0,588,No,1
22.0,Male,High School,22364.0,4,Own,3000.0,Personal,7.9,0.13,4.0,672,No,1
22.0,Female,High School,22616.0,0,Own,2000.0,Venture,11.49,0.09,3.0,567,No,0
22.0,Female,Associate,22867.0,3,Own,3500.0,Homeimprovement,7.49,0.15,4.0,647,No,1
23.0,Female,Master,22583.0,1,Own,4000.0,Education,5.99,0.18,2.0,645,No,1
21.0,Female,Master,22882.0,0,Own,4900.0,Homeimprovement,14.54,0.21,4.0,674,No,1
21.0,Female,Bachelor,22392.0,0,Own,5000.0,Education,11.11,0.22,2.0,594,No,1
24.0,Male,Associate,22635.0,3,Own,6250.0,Homeimprovement,6.54,0.28,4.0,602,No,1
23.0,Male,Bachelor,22957.0,1,Mortgage,2500.0,Medical,15.95,0.11,2.0,594,No,1
21.0,Male,Bachelor,22366.0,0,Own,6250.0,Venture,10.62,0.28,4.0,637,No,1
21.0,Male,Bachelor,22673.0,0,Own,2500.0,Personal,11.36,0.11,3.0,670,Yes,0
22.0,Male,Bachelor,22564.0,1,Own,4000.0,Medical,11.01,0.18,2.0,684,No,1
22.0,Male,Bachelor,22786.0,0,Own,5400.0,Medical,15.31,0.24,2.0,647,No,1
25.0,Male,High School,22450.0,4,Mortgage,4000.0,Medical,11.01,0.18,3.0,580,No,1
21.0,Female,Bachelor,22666.0,0,Own,3375.0,Venture,11.01,0.15,2.0,630,No,1
25.0,Female,Master,68579.0,1,Rent,23000.0,Education,11.01,0.34,2.0,665,No,1
23.0,Female,Bachelor,73014.0,0,Rent,23000.0,Venture,12.18,0.32,4.0,668,No,1
24.0,Female,Bachelor,22608.0,2,Mortgage,1200.0,Venture,11.34,0.05,4.0,615,Yes,0
25.0,Female,High School,76932.0,2,Rent,23000.0,Education,9.91,0.3,3.0,604,No,1
24.0,Male,High School,78955.0,1,Rent,23000.0,Homeimprovement,11.99,0.29,4.0,620,No,1
23.0,Male,Master,82567.0,0,Rent,23000.0,Education,9.62,0.28,2.0,558,No,1
22.0,Male,Bachelor,22466.0,0,Own,3000.0,Debtconsolidation,9.96,0.13,3.0,603,No,1
25.0,Male,Bachelor,97251.0,2,Rent,23000.0,Venture,11.01,0.24,2.0,683,Yes,0
24.0,Male,Associate,106607.0,1,Rent,23000.0,Venture,14.54,0.22,2.0,641,No,1
22.0,Male,Bachelor,71385.0,0,Rent,22750.0,Medical,11.36,0.32,4.0,521,No,1
23.0,Female,Bachelor,84865.0,3,Rent,22500.0,Debtconsolidation,14.27,0.27,2.0,655,No,1
24.0,Male,Bachelor,22789.0,1,Own,3000.0,Homeimprovement,11.99,0.13,3.0,663,No,1
26.0,Female,Bachelor,84801.0,4,Rent,22500.0,Education,18.99,0.27,2.0,605,No,1
24.0,Male,Bachelor,88421.0,4,Rent,22400.0,Venture,16.7,0.25,4.0,708,No,1
24.0,Male,High School,23071.0,3,Mortgage,5000.0,Personal,9.32,0.22,3.0,571,No,1
25.0,Male,Bachelor,63311.0,1,Rent,22000.0,Personal,10.74,0.35,2.0,689,No,1
21.0,Male,Bachelor,23597.0,0,Mortgage,4200.0,Personal,14.11,0.18,4.0,675,No,1
22.0,Female,High School,69308.0,1,Rent,22000.0,Education,9.63,0.32,3.0,591,No,1
25.0,Female,High School,70598.0,5,Rent,22000.0,Medical,14.65,0.31,2.0,616,No,1
23.0,Female,High School,73044.0,0,Rent,22000.0,Debtconsolidation,10.25,0.3,4.0,640,No,1
24.0,Male,Bachelor,73043.0,0,Rent,22000.0,Venture,14.26,0.3,2.0,593,No,1
25.0,Female,Bachelor,23627.0,4,Mortgage,3000.0,Education,9.91,0.13,2.0,649,No,1
26.0,Male,Bachelor,68198.0,4,Rent,22000.0,Medical,17.19,0.32,3.0,645,No,1
22.0,Female,High School,85089.0,0,Rent,22000.0,Education,11.36,0.26,4.0,537,No,1
22.0,Female,Bachelor,80358.0,0,Rent,22000.0,Education,11.01,0.27,2.0,635,No,1
23.0,Female,Bachelor,90025.0,0,Rent,22000.0,Debtconsolidation,10.59,0.24,3.0,640,Yes,0
24.0,Female,Master,93232.0,2,Rent,22000.0,Education,9.25,0.24,2.0,625,No,0
22.0,Female,Master,23497.0,0,Own,3625.0,Medical,8.49,0.15,3.0,557,No,1
26.0,Male,Associate,93314.0,8,Rent,22000.0,Venture,6.54,0.24,3.0,643,No,0
21.0,Female,Associate,23543.0,0,Own,6000.0,Medical,8.49,0.25,3.0,631,No,1
24.0,Male,Bachelor,97038.0,0,Rent,22000.0,Medical,11.01,0.23,4.0,653,Yes,0
26.0,Female,Associate,100246.0,1,Rent,22000.0,Venture,12.69,0.22,2.0,623,Yes,0
24.0,Female,Bachelor,23667.0,3,Own,7400.0,Medical,13.85,0.31,2.0,662,No,1
25.0,Male,Associate,23719.0,2,Own,4000.0,Debtconsolidation,7.4,0.17,3.0,667,No,1
23.0,Male,High School,101575.0,1,Rent,22000.0,Debtconsolidation,11.71,0.22,4.0,586,No,0
25.0,Female,Master,94168.0,3,Rent,22000.0,Personal,11.48,0.23,3.0,719,No,1
25.0,Male,Master,99394.0,1,Rent,22000.0,Education,17.51,0.22,2.0,646,No,1
21.0,Male,High School,23504.0,0,Mortgage,3500.0,Debtconsolidation,14.61,0.15,3.0,646,No,1
23.0,Male,Bachelor,120500.0,3,Rent,22000.0,Debtconsolidation,7.88,0.18,4.0,646,No,0
23.0,Female,Bachelor,133195.0,1,Rent,22000.0,Personal,11.01,0.17,3.0,643,Yes,0
22.0,Male,Bachelor,24148.0,1,Mortgage,4950.0,Personal,11.71,0.2,2.0,594,No,1
25.0,Male,Bachelor,69353.0,1,Rent,21700.0,Personal,11.99,0.31,2.0,664,No,1
24.0,Male,High School,65946.0,0,Rent,21600.0,Venture,13.49,0.33,2.0,605,No,1
26.0,Female,Associate,76687.0,3,Rent,21600.0,Debtconsolidation,14.35,0.28,3.0,655,No,1
22.0,Female,Bachelor,99087.0,0,Rent,21600.0,Personal,13.61,0.22,3.0,597,No,0
22.0,Male,High School,94523.0,0,Rent,21600.0,Debtconsolidation,11.26,0.23,3.0,679,No,1
22.0,Female,High School,24092.0,0,Own,2400.0,Venture,10.59,0.1,3.0,654,No,0
24.0,Female,Bachelor,135365.0,1,Rent,21600.0,Medical,7.9,0.16,2.0,556,No,0
24.0,Male,Associate,24420.0,2,Mortgage,7000.0,Homeimprovement,5.99,0.29,4.0,694,No,1
25.0,Male,High School,23948.0,3,Own,3000.0,Education,11.99,0.13,4.0,587,No,1
24.0,Female,Associate,71718.0,2,Rent,21500.0,Medical,16.89,0.3,3.0,620,No,1
24.0,Female,Master,84999.0,0,Rent,21500.0,Homeimprovement,9.99,0.25,3.0,701,No,1
24.0,Female,High School,140396.0,4,Rent,21500.0,Education,15.33,0.15,3.0,572,Yes,0
25.0,Male,High School,73404.0,4,Rent,21450.0,Education,7.29,0.29,4.0,671,No,1
25.0,Male,Bachelor,62422.0,4,Rent,21250.0,Venture,6.91,0.34,2.0,588,No,1
22.0,Male,Bachelor,23993.0,1,Mortgage,5000.0,Debtconsolidation,14.17,0.21,2.0,691,No,1
22.0,Male,High School,64732.0,0,Rent,21250.0,Medical,10.25,0.33,3.0,645,No,1
24.0,Male,Bachelor,68154.0,2,Rent,21250.0,Venture,15.95,0.31,3.0,672,No,1
24.0,Female,Associate,79138.0,2,Rent,21250.0,Education,15.95,0.27,4.0,650,No,1
22.0,Male,Associate,23888.0,0,Mortgage,1400.0,Homeimprovement,14.91,0.06,4.0,535,No,1
23.0,Male,Associate,24013.0,0,Mortgage,3000.0,Medical,11.01,0.12,4.0,604,No,1
25.0,Female,Associate,24121.0,1,Own,1000.0,Venture,11.01,0.04,3.0,612,Yes,0
23.0,Male,High School,76364.0,0,Rent,21000.0,Medical,11.36,0.27,2.0,645,No,1
26.0,Male,Bachelor,24297.0,3,Mortgage,4000.0,Venture,7.51,0.16,4.0,678,No,1
22.0,Female,Bachelor,71599.0,0,Rent,21000.0,Personal,10.71,0.29,3.0,644,No,1
22.0,Male,Associate,85496.0,1,Rent,21000.0,Personal,13.98,0.25,4.0,614,Yes,0
26.0,Female,Associate,79163.0,3,Rent,21000.0,Debtconsolidation,14.09,0.27,3.0,627,No,1
22.0,Male,Master,90944.0,0,Rent,21000.0,Education,10.0,0.23,3.0,523,Yes,0
22.0,Female,Master,23973.0,0,Mortgage,5000.0,Medical,15.33,0.21,3.0,571,No,1
25.0,Female,High School,75181.0,4,Rent,21000.0,Medical,16.32,0.28,4.0,546,No,1
24.0,Female,Associate,95767.0,2,Rent,21000.0,Homeimprovement,7.9,0.22,2.0,640,No,0
23.0,Female,Master,96788.0,1,Rent,21000.0,Medical,11.99,0.22,3.0,648,Yes,0
24.0,Male,High School,101708.0,2,Rent,21000.0,Medical,10.75,0.21,4.0,593,No,0
26.0,Male,Associate,103023.0,4,Rent,21000.0,Homeimprovement,13.92,0.2,3.0,658,Yes,0
22.0,Male,Bachelor,113027.0,2,Rent,21000.0,Education,9.91,0.19,3.0,701,No,0
26.0,Female,Bachelor,98366.0,4,Rent,21000.0,Education,16.95,0.21,3.0,702,No,1
26.0,Male,Associate,117668.0,0,Rent,21000.0,Education,7.9,0.18,3.0,711,Yes,0
26.0,Male,Bachelor,117297.0,4,Rent,21000.0,Education,11.01,0.18,3.0,570,Yes,0
25.0,Female,Associate,120885.0,4,Rent,21000.0,Personal,16.49,0.17,3.0,637,No,1
26.0,Female,Associate,24183.0,5,Other,7500.0,Personal,11.97,0.31,2.0,621,No,1
21.0,Male,High School,23664.0,1,Mortgage,6250.0,Debtconsolidation,6.17,0.26,3.0,637,No,1
26.0,Male,Associate,150692.0,7,Rent,21000.0,Homeimprovement,8.9,0.14,2.0,534,No,0
25.0,Female,High School,151100.0,2,Rent,21000.0,Education,12.99,0.14,3.0,577,Yes,0
23.0,Male,Bachelor,99197.0,1,Rent,20900.0,Personal,12.69,0.21,2.0,638,No,0
26.0,Female,High School,61015.0,2,Rent,20500.0,Venture,7.49,0.34,3.0,676,No,1
23.0,Male,Associate,84845.0,0,Rent,20500.0,Education,13.16,0.24,3.0,641,No,0
22.0,Female,Associate,24872.0,0,Own,2100.0,Education,8.38,0.08,4.0,630,Yes,0
23.0,Male,Bachelor,65613.0,0,Rent,20375.0,Personal,7.49,0.31,2.0,518,No,1
23.0,Male,Associate,24766.0,0,Own,5000.0,Personal,11.71,0.2,4.0,649,No,0
23.0,Male,Associate,25168.0,0,Mortgage,6400.0,Medical,10.65,0.25,4.0,638,No,0
26.0,Male,Bachelor,25012.0,3,Mortgage,4800.0,Medical,5.99,0.19,3.0,682,Yes,0
25.0,Male,Bachelor,25295.0,3,Own,5650.0,Personal,15.99,0.22,2.0,637,Yes,0
23.0,Female,Associate,24930.0,0,Mortgage,3625.0,Education,11.01,0.15,3.0,662,Yes,0
22.0,Female,Associate,54870.0,0,Rent,20000.0,Education,7.9,0.36,4.0,631,No,1
23.0,Male,Associate,55291.0,3,Rent,20000.0,Personal,10.25,0.36,2.0,632,No,1
24.0,Female,High School,54919.0,4,Rent,20000.0,Medical,11.01,0.36,2.0,670,No,1
23.0,Female,Bachelor,25141.0,0,Own,1200.0,Medical,7.49,0.05,3.0,700,No,0
22.0,Male,High School,54899.0,0,Rent,20000.0,Debtconsolidation,13.92,0.36,3.0,650,No,1
24.0,Male,Associate,56744.0,0,Rent,20000.0,Education,10.62,0.35,2.0,582,No,1
22.0,Male,Associate,58440.0,0,Rent,20000.0,Venture,10.65,0.34,3.0,656,No,1
22.0,Male,High School,58859.0,1,Rent,20000.0,Venture,11.36,0.34,4.0,672,No,1
22.0,Female,Associate,24521.0,0,Own,7500.0,Education,5.79,0.31,4.0,612,Yes,0
23.0,Female,Master,60235.0,4,Rent,20000.0,Education,6.54,0.33,4.0,615,No,1
25.0,Female,Master,25654.0,6,Mortgage,4000.0,Venture,5.79,0.16,2.0,725,No,0
25.0,Female,Bachelor,61114.0,1,Rent,20000.0,Debtconsolidation,7.49,0.33,3.0,639,No,1
25.0,Female,Bachelor,60990.0,1,Rent,20000.0,Education,13.43,0.33,2.0,691,No,1
22.0,Female,Bachelor,61072.0,0,Rent,20000.0,Debtconsolidation,13.22,0.33,2.0,681,No,1
22.0,Male,Associate,25229.0,1,Own,5000.0,Venture,14.72,0.2,3.0,604,Yes,0
24.0,Male,Bachelor,61918.0,2,Rent,20000.0,Medical,11.01,0.32,3.0,672,No,1
25.0,Female,Bachelor,62299.0,3,Rent,20000.0,Homeimprovement,11.48,0.32,3.0,680,No,1
24.0,Male,Master,62192.0,3,Rent,20000.0,Venture,10.38,0.32,3.0,640,No,1
22.0,Male,Bachelor,62045.0,0,Rent,20000.0,Education,12.53,0.32,3.0,629,No,1
22.0,Male,Bachelor,62350.0,1,Rent,20000.0,Education,13.47,0.32,2.0,677,No,1
24.0,Female,Associate,62508.0,0,Rent,20000.0,Venture,12.21,0.32,4.0,571,No,1
25.0,Male,High School,63607.0,2,Rent,20000.0,Venture,10.99,0.31,3.0,647,No,1
25.0,Male,Associate,63921.0,3,Rent,20000.0,Education,11.36,0.31,4.0,568,No,1
22.0,Male,Bachelor,56273.0,0,Rent,20000.0,Debtconsolidation,16.0,0.36,4.0,700,No,1
26.0,Male,Bachelor,24569.0,4,Mortgage,1500.0,Personal,7.74,0.06,3.0,570,Yes,0
24.0,Male,High School,63481.0,3,Rent,20000.0,Education,15.65,0.32,2.0,633,No,1
25.0,Male,High School,56451.0,0,Rent,20000.0,Debtconsolidation,11.78,0.35,2.0,646,No,1
24.0,Female,Associate,63897.0,0,Rent,20000.0,Homeimprovement,11.01,0.31,3.0,614,No,1
22.0,Female,High School,57193.0,0,Rent,20000.0,Medical,16.77,0.35,3.0,532,No,1
22.0,Male,Associate,65874.0,0,Rent,20000.0,Education,9.91,0.3,4.0,617,No,1
23.0,Female,Associate,58705.0,3,Rent,20000.0,Medical,15.65,0.34,4.0,603,No,1
23.0,Male,High School,58236.0,2,Rent,20000.0,Medical,14.96,0.34,3.0,588,No,1
23.0,Male,Associate,65738.0,0,Rent,20000.0,Venture,11.83,0.3,4.0,668,No,1
24.0,Male,High School,59765.0,2,Rent,20000.0,Medical,11.66,0.33,4.0,643,No,1
26.0,Male,High School,67019.0,2,Rent,20000.0,Education,12.18,0.3,4.0,639,No,1
24.0,Female,Associate,67265.0,2,Rent,20000.0,Homeimprovement,6.91,0.3,2.0,525,No,1
25.0,Male,Bachelor,66906.0,3,Rent,20000.0,Debtconsolidation,6.91,0.3,3.0,666,No,1
25.0,Male,High School,67174.0,2,Rent,20000.0,Venture,9.88,0.3,4.0,646,No,1
23.0,Male,Associate,66844.0,0,Rent,20000.0,Debtconsolidation,12.53,0.3,2.0,655,No,1
25.0,Female,Associate,67482.0,6,Rent,20000.0,Venture,11.01,0.3,4.0,682,No,1
23.0,Male,High School,24853.0,0,Mortgage,7125.0,Personal,6.99,0.29,2.0,631,Yes,0
23.0,Male,Master,69387.0,2,Rent,20000.0,Education,16.89,0.29,2.0,600,No,1
22.0,Female,High School,62379.0,0,Rent,20000.0,Personal,17.49,0.32,4.0,641,No,1
23.0,Male,Bachelor,24853.0,0,Mortgage,2500.0,Education,16.82,0.1,2.0,524,Yes,0
26.0,Male,Associate,24751.0,2,Mortgage,3600.0,Homeimprovement,11.01,0.15,2.0,669,Yes,0
22.0,Female,Associate,70529.0,1,Rent,20000.0,Debtconsolidation,13.11,0.28,2.0,593,No,1
23.0,Female,Associate,71255.0,2,Rent,20000.0,Debtconsolidation,7.66,0.28,3.0,654,No,1
26.0,Male,Master,71761.0,3,Rent,20000.0,Medical,6.17,0.28,3.0,665,No,1
26.0,Male,Bachelor,64550.0,8,Rent,20000.0,Personal,16.35,0.31,4.0,649,No,1
23.0,Female,Bachelor,72969.0,1,Rent,20000.0,Medical,7.9,0.27,2.0,579,No,1
24.0,Female,Bachelor,66060.0,4,Rent,20000.0,Venture,16.49,0.3,2.0,671,No,1
21.0,Male,Bachelor,25666.0,0,Own,3550.0,Venture,11.01,0.14,4.0,693,Yes,0
26.0,Male,Associate,25229.0,3,Mortgage,7000.0,Homeimprovement,8.0,0.28,2.0,626,Yes,0
24.0,Female,Master,72762.0,6,Rent,20000.0,Personal,10.99,0.27,2.0,677,No,1
24.0,Male,Master,25451.0,3,Own,7750.0,Venture,6.91,0.3,3.0,594,No,0
25.0,Female,Bachelor,65742.0,1,Rent,20000.0,Personal,8.88,0.3,3.0,592,No,1
24.0,Male,Bachelor,73352.0,1,Rent,20000.0,Venture,11.01,0.27,4.0,583,No,1
23.0,Male,Master,65733.0,0,Rent,20000.0,Debtconsolidation,14.84,0.3,3.0,592,No,1
23.0,Male,Associate,65802.0,3,Rent,20000.0,Personal,11.12,0.3,2.0,628,No,1
22.0,Male,Bachelor,72562.0,1,Rent,20000.0,Education,7.88,0.28,3.0,567,No,1
25.0,Female,Associate,73028.0,1,Rent,20000.0,Education,11.01,0.27,2.0,654,No,1
22.0,Male,Associate,25537.0,0,Mortgage,6000.0,Education,15.99,0.23,4.0,623,No,0
24.0,Male,Associate,25526.0,1,Mortgage,5500.0,Debtconsolidation,10.99,0.22,4.0,661,Yes,0
25.0,Male,Bachelor,73266.0,1,Rent,20000.0,Education,11.01,0.27,3.0,658,No,1
25.0,Male,High School,65555.0,1,Rent,20000.0,Personal,15.65,0.31,3.0,667,No,1
24.0,Female,High School,65678.0,4,Rent,20000.0,Personal,17.04,0.3,3.0,602,No,1
23.0,Female,Bachelor,73286.0,3,Rent,20000.0,Education,12.21,0.27,2.0,687,No,1
21.0,Male,Associate,25416.0,1,Own,1275.0,Education,15.23,0.05,3.0,626,Yes,0
25.0,Female,High School,65967.0,6,Rent,20000.0,Debtconsolidation,14.11,0.3,4.0,662,No,1
24.0,Female,High School,73202.0,1,Rent,20000.0,Personal,11.14,0.27,2.0,536,No,1
21.0,Male,Associate,25710.0,0,Own,2400.0,Medical,11.49,0.09,4.0,623,No,0
24.0,Female,Bachelor,73058.0,3,Rent,20000.0,Personal,13.87,0.27,4.0,647,No,1
26.0,Male,High School,72650.0,3,Rent,20000.0,Homeimprovement,10.08,0.28,4.0,606,No,1
23.0,Male,High School,66301.0,2,Rent,20000.0,Personal,16.7,0.3,4.0,645,No,1
24.0,Male,High School,66951.0,2,Rent,20000.0,Venture,18.64,0.3,2.0,632,No,1
24.0,Female,Bachelor,73899.0,0,Rent,20000.0,Homeimprovement,12.18,0.27,4.0,634,No,1
22.0,Male,High School,25644.0,2,Own,3800.0,Debtconsolidation,11.01,0.15,3.0,645,No,0
25.0,Female,High School,75578.0,2,Rent,20000.0,Medical,6.54,0.26,3.0,574,No,1
24.0,Male,High School,68349.0,3,Rent,20000.0,Education,14.61,0.29,4.0,576,No,1
21.0,Female,Bachelor,68120.0,0,Rent,20000.0,Venture,17.39,0.29,3.0,664,No,1
24.0,Male,High School,75484.0,2,Rent,20000.0,Homeimprovement,11.12,0.26,2.0,562,No,1
25.0,Female,Bachelor,75802.0,2,Rent,20000.0,Venture,11.48,0.26,2.0,637,No,1
25.0,Female,Master,76733.0,2,Rent,20000.0,Medical,12.42,0.26,3.0,656,No,1
26.0,Male,Bachelor,70484.0,4,Rent,20000.0,Debtconsolidation,10.25,0.28,2.0,590,No,1
23.0,Female,Bachelor,78886.0,1,Rent,20000.0,Medical,10.65,0.25,3.0,653,No,1
24.0,Female,Associate,25992.0,3,Own,5000.0,Personal,16.29,0.19,3.0,612,No,0
23.0,Female,Bachelor,79348.0,0,Rent,20000.0,Medical,10.37,0.25,2.0,703,No,1
23.0,Male,Bachelor,78597.0,1,Rent,20000.0,Venture,11.49,0.25,3.0,596,No,1
25.0,Male,Master,26133.0,4,Own,5375.0,Venture,13.49,0.21,2.0,650,Yes,0
26.0,Female,Bachelor,71856.0,6,Rent,20000.0,Personal,11.01,0.28,4.0,610,No,1
23.0,Male,Master,72259.0,2,Rent,20000.0,Education,12.29,0.28,4.0,650,No,1
21.0,Female,Bachelor,25869.0,0,Mortgage,3500.0,Debtconsolidation,17.27,0.14,2.0,579,No,1
