person_gender,person_education,person_income,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,net_disposable_income
Female,Master,79255.0,Rent,19200.0,Education,16.0,0.31,4.0,691,No,1,76183.0
Female,Bachelor,28367.0,Own,3000.0,Personal,7.29,0.11,3.0,600,Yes,0,28148.3
Male,Bachelor,97420.0,Rent,19200.0,Personal,14.54,0.31,4.0,691,No,1,94628.32
Female,High School,82443.0,Rent,19200.0,Homeimprovement,12.68,0.31,3.0,654,No,1,80008.44
Female,Associate,28367.0,Mortgage,4575.0,Venture,16.0,0.31,3.0,626,No,1,27635.0
Male,High School,28367.0,Own,3000.0,Personal,9.32,0.1,3.0,607,No,0,28087.4
Female,Bachelor,79054.0,Rent,19200.0,Homeimprovement,9.99,0.31,3.0,700,No,1,77135.92
Female,Bachelor,28367.0,Other,4000.0,Education,12.84,0.27,2.0,553,No,1,27853.4
Male,High School,28367.0,Own,3000.0,Medical,11.12,0.13,3.0,589,No,1,28033.4
Male,Bachelor,144855.0,Rent,19200.0,Venture,6.62,0.22,2.0,586,Yes,0,143583.96
Male,Bachelor,114645.0,Rent,19200.0,Homeimprovement,14.17,0.27,3.0,681,No,1,111924.36
Female,High School,166754.0,Rent,19200.0,Debtconsolidation,13.85,0.07,3.0,567,Yes,0,164094.8
Female,Associate,166754.0,Mortgage,7800.0,Medical,13.49,0.03,4.0,669,No,0,165701.78
Male,Associate,28367.0,Own,3000.0,Education,7.51,0.17,4.0,600,No,1,28141.7
Female,Bachelor,58868.0,Rent,19200.0,Education,16.0,0.31,2.0,606,No,1,55796.0
Male,High School,78026.0,Rent,19200.0,Debtconsolidation,14.54,0.31,3.0,582,No,1,75234.32
Male,Bachelor,90785.0,Rent,19200.0,Homeimprovement,16.0,0.31,4.0,649,No,1,87713.0
Female,High School,86811.0,Rent,19200.0,Debtconsolidation,11.01,0.31,4.0,602,No,1,84697.08
Male,Bachelor,75503.0,Rent,19200.0,Medical,16.0,0.31,2.0,616,No,1,72431.0
Female,High School,28367.0,Own,3000.0,Venture,12.69,0.17,3.0,631,No,1,27986.3
Male,Bachelor,166754.0,Mortgage,19200.0,Venture,7.88,0.06,4.0,684,Yes,0,165241.04
Male,High School,166754.0,Own,19200.0,Education,16.0,0.07,2.0,637,Yes,0,163682.0
Male,Master,166754.0,Own,10000.0,Homeimprovement,10.38,0.03,4.0,649,No,0,165716.0
Male,Bachelor,166754.0,Mortgage,19200.0,Education,15.33,0.07,3.0,695,Yes,0,163810.64
Female,Bachelor,166754.0,Mortgage,18000.0,Homeimprovement,16.0,0.05,3.0,620,No,0,163874.0
Male,Bachelor,98230.0,Rent,19200.0,Personal,7.49,0.31,3.0,622,No,1,96791.92
Female,High School,80838.0,Rent,19200.0,Medical,12.69,0.31,3.0,645,No,1,78401.52
Male,Master,107957.0,Rent,19200.0,Debtconsolidation,6.62,0.28,3.0,654,No,1,106685.96
Female,Bachelor,94649.0,Rent,19200.0,Debtconsolidation,11.01,0.31,4.0,624,No,1,92535.08
Male,High School,94550.0,Rent,19200.0,Debtconsolidation,16.0,0.31,3.0,570,No,1,91478.0
Male,Bachelor,111153.0,Rent,19200.0,Personal,15.23,0.27,3.0,648,No,1,108228.84
Female,Associate,117250.0,Rent,19200.0,Venture,10.65,0.26,2.0,652,No,1,115205.2
Male,Bachelor,144985.0,Rent,19200.0,Education,7.9,0.21,4.0,559,No,0,143468.2
Male,High School,166754.0,Rent,10000.0,Personal,15.96,0.03,3.0,623,Yes,0,165158.0
Male,Associate,166754.0,Rent,19200.0,Venture,11.48,0.06,3.0,602,Yes,0,164549.84
Male,Bachelor,166754.0,Own,19200.0,Personal,11.01,0.1,4.0,609,No,0,164640.08
Male,Master,154793.0,Rent,19200.0,Personal,7.29,0.19,4.0,573,Yes,0,153393.32
Male,Associate,28367.0,Own,3000.0,Venture,11.01,0.11,3.0,631,Yes,0,28036.7
Female,Bachelor,158338.0,Rent,19200.0,Venture,6.17,0.19,4.0,623,Yes,0,157153.36
Female,Bachelor,166754.0,Own,12000.0,Venture,11.58,0.04,2.0,602,Yes,0,165364.4
Female,High School,166754.0,Mortgage,10000.0,Education,11.01,0.03,4.0,579,No,1,165653.0
Female,Associate,166754.0,Mortgage,19200.0,Medical,15.7,0.09,2.0,582,No,1,163739.6
Male,Master,85191.0,Rent,19200.0,Education,15.99,0.31,3.0,700,No,1,82120.92
Male,Associate,28367.0,Mortgage,3000.0,Education,14.84,0.1,3.0,688,No,0,27921.8
Male,Bachelor,166754.0,Own,19200.0,Homeimprovement,10.99,0.09,3.0,607,Yes,0,164643.92
Female,Bachelor,166754.0,Mortgage,19200.0,Homeimprovement,14.42,0.06,2.0,661,Yes,0,163985.36
Male,High School,166754.0,Mortgage,9600.0,Education,6.99,0.03,2.0,562,Yes,0,166082.96
Female,Bachelor,166754.0,Rent,19200.0,Medical,13.49,0.08,4.0,664,Yes,0,164163.92
Male,High School,28367.0,Own,3000.0,Medical,11.01,0.2,3.0,564,No,1,28036.7
Male,Associate,69042.0,Rent,19200.0,Medical,11.01,0.31,2.0,598,No,1,66928.08
Female,High School,28367.0,Own,3000.0,Education,13.61,0.2,3.0,557,No,1,27958.7
Female,Associate,79183.0,Rent,19200.0,Education,7.9,0.31,2.0,677,No,1,77666.2
Male,Bachelor,102654.0,Rent,19200.0,Venture,7.49,0.27,3.0,690,No,1,101215.92
Male,Associate,28367.0,Own,6100.0,Education,7.51,0.31,3.0,599,No,1,27908.89
Male,High School,106566.0,Rent,19200.0,Venture,9.91,0.26,3.0,604,No,1,104663.28
Female,Bachelor,28367.0,Own,4200.0,Personal,13.48,0.28,4.0,663,No,1,27800.84
Male,Bachelor,28367.0,Own,4750.0,Debtconsolidation,7.14,0.31,2.0,601,No,1,28027.85
Male,High School,100332.0,Rent,19200.0,Venture,15.99,0.28,4.0,634,No,1,97261.92
Male,Bachelor,166754.0,Rent,18000.0,Education,12.98,0.06,3.0,671,No,0,164417.6
Male,Bachelor,166754.0,Rent,4800.0,Venture,13.57,0.03,3.0,703,No,0,166102.64
Female,Bachelor,121062.0,Rent,19200.0,Debtconsolidation,12.69,0.23,3.0,622,No,0,118625.52
Male,Associate,133372.0,Rent,19200.0,Education,8.9,0.21,2.0,539,Yes,0,131663.2
Male,Bachelor,28367.0,Own,3000.0,Debtconsolidation,11.01,0.17,4.0,587,No,1,28036.7
Male,Master,130852.0,Rent,19200.0,Education,11.01,0.21,4.0,683,No,1,128738.08
Male,Associate,166754.0,Rent,19200.0,Debtconsolidation,11.11,0.15,2.0,634,Yes,0,164620.88
Female,Bachelor,83853.0,Rent,19200.0,Homeimprovement,11.01,0.31,2.0,690,No,1,81739.08
Female,Bachelor,28367.0,Mortgage,3250.0,Debtconsolidation,15.68,0.21,3.0,539,No,1,27857.4
Female,Bachelor,85243.0,Rent,19200.0,Education,13.06,0.31,3.0,583,No,1,82735.48
Male,Associate,166754.0,Own,19200.0,Personal,11.01,0.09,2.0,617,Yes,0,164640.08
Male,Associate,89074.0,Rent,19200.0,Venture,15.62,0.3,2.0,668,No,1,86074.96
Male,Master,100509.0,Rent,19200.0,Personal,13.49,0.27,2.0,673,No,1,97918.92
Male,High School,88950.0,Rent,19200.0,Venture,11.01,0.3,3.0,703,No,1,86836.08
Female,High School,75894.0,Rent,19200.0,Medical,11.71,0.31,2.0,539,No,1,73645.68
Male,Associate,145092.0,Rent,19200.0,Education,12.69,0.18,3.0,557,Yes,0,142655.52
Female,Bachelor,28367.0,Own,3000.0,Medical,13.57,0.1,3.0,689,Yes,0,27959.9
Male,Bachelor,73131.0,Rent,19200.0,Venture,10.99,0.31,3.0,681,No,1,71020.92
Male,Master,166754.0,Mortgage,19200.0,Medical,14.27,0.07,4.0,623,Yes,0,164014.16
Female,Associate,166754.0,Own,19200.0,Homeimprovement,8.88,0.07,4.0,595,Yes,0,165049.04
Male,Bachelor,166754.0,Mortgage,19200.0,Homeimprovement,12.18,0.08,3.0,584,Yes,0,164415.44
Male,Bachelor,166754.0,Mortgage,11900.0,Debtconsolidation,14.42,0.04,3.0,669,No,1,165038.02
Male,High School,166754.0,Mortgage,19200.0,Medical,14.17,0.09,2.0,642,Yes,0,164033.36
Female,High School,166754.0,Mortgage,19200.0,Medical,13.99,0.13,4.0,622,Yes,0,164067.92
Male,Associate,100756.0,Rent,19200.0,Education,10.99,0.25,3.0,689,No,1,98645.92
Male,High School,28367.0,Mortgage,3000.0,Personal,6.17,0.12,4.0,614,No,1,28181.9
Female,Bachelor,28367.0,Own,3000.0,Personal,13.61,0.11,3.0,597,Yes,0,27958.7
Female,Bachelor,51922.0,Rent,19200.0,Education,12.73,0.31,3.0,673,No,1,49477.84
Male,Associate,50309.0,Rent,19200.0,Homeimprovement,11.01,0.31,3.0,625,No,1,48195.08
Male,High School,28367.0,Own,3000.0,Debtconsolidation,12.87,0.18,4.0,603,No,1,27980.9
Male,Bachelor,28367.0,Mortgage,3650.0,Homeimprovement,9.91,0.22,3.0,589,No,1,28005.285
Male,Master,166754.0,Mortgage,19200.0,Homeimprovement,11.49,0.07,4.0,670,Yes,0,164547.92
Female,Bachelor,166754.0,Mortgage,19200.0,Homeimprovement,16.0,0.11,2.0,637,Yes,0,163682.0
Male,Associate,166754.0,Mortgage,19200.0,Education,10.65,0.14,2.0,643,No,1,164709.2
Male,High School,166754.0,Rent,6000.0,Medical,11.01,0.03,4.0,539,Yes,0,166093.4
Male,High School,28367.0,Mortgage,4500.0,Debtconsolidation,11.83,0.27,4.0,643,No,1,27834.65
Male,High School,28367.0,Own,3000.0,Debtconsolidation,13.49,0.14,2.0,539,No,1,27962.3
Male,Bachelor,51608.0,Rent,19200.0,Medical,14.59,0.31,2.0,593,No,1,48806.72
Female,Master,58516.0,Rent,19200.0,Education,9.64,0.31,4.0,686,No,1,56665.12
Female,Associate,28367.0,Own,3600.0,Medical,14.59,0.22,3.0,646,No,1,27841.76
Female,Bachelor,28367.0,Own,4750.0,Education,11.01,0.28,3.0,645,No,1,27844.025
Female,Associate,51747.0,Rent,19200.0,Education,16.0,0.31,3.0,697,No,1,48675.0
Male,High School,59864.0,Rent,19200.0,Education,10.99,0.31,2.0,648,No,1,57753.92
Male,Master,166754.0,Mortgage,19200.0,Venture,16.0,0.09,2.0,640,Yes,0,163682.0
Male,Bachelor,166754.0,Rent,3000.0,Education,9.32,0.03,4.0,681,No,0,166474.4
Female,Associate,166754.0,Rent,7500.0,Debtconsolidation,8.63,0.03,2.0,646,No,0,166106.75
Male,Bachelor,166754.0,Mortgage,19200.0,Venture,10.08,0.09,2.0,615,Yes,0,164818.64
Male,Associate,60501.0,Rent,19200.0,Personal,11.83,0.31,3.0,687,No,1,58229.64
Male,High School,60754.0,Rent,19200.0,Debtconsolidation,7.9,0.31,3.0,650,No,1,59237.2
Male,Bachelor,60829.0,Rent,19200.0,Homeimprovement,6.17,0.31,2.0,588,No,1,59644.36
Male,Bachelor,53825.0,Rent,19200.0,Debtconsolidation,15.33,0.31,2.0,652,No,1,50881.64
Male,High School,60801.0,Rent,19200.0,Venture,11.83,0.31,4.0,658,No,1,58529.64
Male,High School,60747.0,Rent,19200.0,Venture,10.36,0.31,2.0,634,No,1,58757.88
Female,High School,61029.0,Rent,19200.0,Venture,12.23,0.31,3.0,623,No,1,58680.84
Female,Associate,63236.0,Rent,19200.0,Education,11.11,0.31,4.0,635,No,1,61102.88
Female,Bachelor,28367.0,Own,4950.0,Debtconsolidation,7.9,0.29,4.0,539,No,1,27975.95
Female,Master,166754.0,Mortgage,19200.0,Education,11.58,0.09,2.0,665,Yes,0,164530.64
Male,Associate,166754.0,Mortgage,19200.0,Debtconsolidation,8.9,0.08,3.0,703,No,0,165045.2
Female,Associate,166754.0,Mortgage,19200.0,Education,16.0,0.1,3.0,585,Yes,0,163682.0
Female,Bachelor,166754.0,Mortgage,19200.0,Education,14.22,0.08,2.0,594,No,0,164023.76
Male,Bachelor,166754.0,Mortgage,19200.0,Medical,14.79,0.14,3.0,618,Yes,0,163914.32
Male,High School,166754.0,Mortgage,12000.0,Education,7.88,0.05,2.0,626,Yes,0,165808.4
Male,High School,63497.0,Rent,19200.0,Personal,13.22,0.31,2.0,695,No,1,60958.76
Female,Doctorate,56325.0,Rent,19200.0,Debtconsolidation,11.86,0.31,4.0,690,No,1,54047.88
Male,Bachelor,64842.0,Rent,19200.0,Education,13.43,0.31,4.0,574,No,1,62263.44
Female,High School,57856.0,Rent,19200.0,Homeimprovement,15.28,0.31,2.0,602,No,1,54922.24
Male,Associate,57318.0,Rent,19200.0,Venture,16.0,0.31,2.0,679,No,1,54246.0
Female,High School,28367.0,Mortgage,3000.0,Education,9.25,0.08,4.0,615,No,0,28089.5
Male,Master,28367.0,Own,4500.0,Venture,12.98,0.27,4.0,601,No,1,27782.9
Male,Associate,166754.0,Mortgage,16000.0,Venture,10.62,0.06,4.0,577,Yes,0,165054.8
Female,Associate,166754.0,Own,19200.0,Personal,11.83,0.09,4.0,588,Yes,0,164482.64
Male,Bachelor,58602.0,Rent,19200.0,Venture,16.0,0.31,2.0,595,No,1,55530.0
Male,High School,67012.0,Rent,19200.0,Education,11.01,0.31,4.0,653,No,1,64898.08
Female,Master,66643.0,Rent,19200.0,Homeimprovement,11.01,0.31,4.0,663,No,1,64529.08
Male,Bachelor,66599.0,Rent,19200.0,Education,11.36,0.31,3.0,653,No,1,64417.88
Male,Associate,67212.0,Rent,19200.0,Education,15.65,0.31,3.0,598,No,1,64207.2
Female,High School,66918.0,Rent,19200.0,Personal,13.22,0.31,4.0,630,No,1,64379.76
Male,Associate,68066.0,Rent,19200.0,Debtconsolidation,12.87,0.31,2.0,637,No,1,65594.96
Male,Associate,166754.0,Own,19200.0,Medical,13.04,0.08,3.0,660,Yes,0,164250.32
Male,Associate,166754.0,Mortgage,19200.0,Education,16.0,0.1,3.0,639,No,1,163682.0
Male,High School,28367.0,Own,7750.0,Personal,16.0,0.31,4.0,626,No,1,27127.0
Female,Associate,72608.0,Rent,19200.0,Personal,10.99,0.31,3.0,612,No,1,70497.92
Male,Bachelor,73073.0,Rent,19200.0,Personal,11.11,0.31,3.0,628,No,1,70939.88
Female,Master,65880.0,Rent,19200.0,Debtconsolidation,14.83,0.31,2.0,592,No,1,63032.64
Male,High School,28367.0,Own,4000.0,Debtconsolidation,11.01,0.23,3.0,580,No,1,27926.6
Male,Bachelor,166754.0,Rent,12000.0,Medical,12.69,0.05,2.0,634,No,0,165231.2
Male,Associate,166754.0,Mortgage,12000.0,Homeimprovement,13.49,0.05,2.0,678,No,0,165135.2
Male,High School,166754.0,Mortgage,16000.0,Education,14.65,0.07,4.0,557,Yes,0,164410.0
Male,Bachelor,65742.0,Rent,19200.0,Homeimprovement,16.0,0.31,4.0,672,No,1,62670.0
Male,Bachelor,72713.0,Rent,19200.0,Personal,12.73,0.31,3.0,613,No,1,70268.84
Male,High School,72627.0,Rent,19200.0,Personal,10.25,0.31,4.0,566,No,1,70659.0
Male,Associate,72843.0,Rent,19200.0,Education,10.99,0.31,4.0,703,No,1,70732.92
Male,High School,75504.0,Rent,19200.0,Medical,12.73,0.31,2.0,539,No,1,73059.84
Female,High School,68824.0,Rent,19200.0,Homeimprovement,14.96,0.31,3.0,634,No,1,65951.68
Female,Bachelor,166754.0,Mortgage,19200.0,Education,11.01,0.12,2.0,653,Yes,0,164640.08
Male,Bachelor,166754.0,Mortgage,19200.0,Debtconsolidation,13.99,0.1,2.0,699,No,0,164067.92
Male,High School,166754.0,Mortgage,19200.0,Venture,7.49,0.1,4.0,656,Yes,0,165315.92
Male,High School,166754.0,Mortgage,15000.0,Education,14.79,0.06,3.0,626,Yes,0,164535.5
Male,High School,166754.0,Mortgage,15500.0,Debtconsolidation,11.99,0.06,2.0,659,No,0,164895.55
Female,High School,166754.0,Rent,10000.0,Education,8.49,0.04,4.0,604,Yes,0,165905.0
Male,Associate,80145.0,Rent,19200.0,Education,9.91,0.31,2.0,636,No,1,78242.28
Male,Master,80303.0,Rent,19200.0,Education,13.06,0.31,3.0,554,No,1,77795.48
Male,High School,166754.0,Mortgage,9000.0,Debtconsolidation,6.17,0.04,4.0,587,Yes,0,166198.7
Male,Associate,166754.0,Mortgage,6000.0,Education,11.86,0.03,2.0,703,No,0,166042.4
Male,Bachelor,166754.0,Rent,18000.0,Education,16.0,0.07,3.0,703,Yes,0,163874.0
Female,Master,166754.0,Mortgage,12000.0,Venture,10.38,0.05,2.0,669,Yes,0,165508.4
Male,Associate,166754.0,Mortgage,19200.0,Personal,14.35,0.1,3.0,578,No,0,163998.8
Male,Bachelor,166754.0,Mortgage,19200.0,Debtconsolidation,11.01,0.08,3.0,615,No,0,164640.08
Female,Master,72919.0,Rent,19200.0,Debtconsolidation,11.01,0.31,2.0,553,No,1,70805.08
Male,Master,28367.0,Own,3000.0,Homeimprovement,11.01,0.17,4.0,635,No,1,28036.7
Female,Associate,81238.0,Rent,19200.0,Personal,15.21,0.31,2.0,539,No,1,78317.68
Male,High School,80868.0,Rent,19200.0,Education,7.9,0.31,4.0,621,No,1,79351.2
Male,Bachelor,81537.0,Rent,19200.0,Venture,10.99,0.31,3.0,674,No,1,79426.92
Female,Associate,82741.0,Rent,19200.0,Personal,14.09,0.3,3.0,688,No,1,80035.72
Female,High School,83901.0,Rent,19200.0,Personal,16.0,0.3,2.0,597,No,1,80829.0
Male,Associate,166754.0,Mortgage,12000.0,Education,11.48,0.05,3.0,640,No,0,165376.4
Female,Associate,166754.0,Mortgage,19200.0,Venture,16.0,0.09,2.0,621,No,1,163682.0
Female,Bachelor,166754.0,Mortgage,3000.0,Personal,13.92,0.03,3.0,608,Yes,0,166336.4
Male,Bachelor,85284.0,Rent,19200.0,Education,15.21,0.29,3.0,653,No,1,82363.68
Female,Bachelor,28367.0,Own,4000.0,Medical,10.99,0.22,3.0,585,No,1,27927.4
Female,High School,84871.0,Rent,19200.0,Education,11.86,0.29,4.0,569,No,1,82593.88
Male,Bachelor,28367.0,Own,6000.0,Personal,7.49,0.31,3.0,587,No,1,27917.6
Male,Bachelor,68029.0,Rent,19200.0,Medical,16.0,0.31,4.0,631,No,1,64957.0
Female,High School,80001.0,Rent,19200.0,Venture,15.33,0.31,2.0,592,No,1,77057.64
Female,High School,79875.0,Rent,19200.0,Homeimprovement,11.58,0.31,4.0,679,No,1,77651.64
Male,High School,28367.0,Own,5375.0,Education,6.17,0.29,2.0,645,No,1,28035.3625
Male,Associate,88153.0,Rent,19200.0,Medical,13.11,0.28,2.0,669,No,1,85635.88
Female,Bachelor,90109.0,Rent,19200.0,Medical,10.36,0.28,3.0,653,No,1,88119.88
Male,Bachelor,90938.0,Rent,19200.0,Debtconsolidation,10.36,0.27,2.0,577,No,1,88948.88
Male,High School,166754.0,Rent,19200.0,Medical,11.01,0.1,2.0,668,Yes,0,164640.08
Male,Bachelor,166754.0,Mortgage,19200.0,Venture,6.54,0.09,4.0,629,No,0,165498.32
Female,Associate,166754.0,Mortgage,10000.0,Medical,12.53,0.04,4.0,643,No,0,165501.0
Male,Bachelor,166754.0,Mortgage,15000.0,Personal,11.01,0.07,3.0,626,No,0,165102.5
Male,Bachelor,166754.0,Mortgage,10000.0,Venture,11.01,0.04,3.0,560,Yes,0,165653.0
Male,Bachelor,90938.0,Rent,19200.0,Education,10.25,0.27,4.0,648,No,1,88970.0
Male,Associate,86284.0,Rent,19200.0,Education,15.95,0.29,4.0,648,No,1,83221.6
Male,Associate,166754.0,Mortgage,19200.0,Venture,12.18,0.09,4.0,669,Yes,0,164415.44
Male,High School,166754.0,Own,19200.0,Personal,11.83,0.1,3.0,539,Yes,0,164482.64
Male,High School,94789.0,Rent,19200.0,Debtconsolidation,11.01,0.26,2.0,548,No,1,92675.08
Female,Master,94780.0,Rent,19200.0,Venture,10.62,0.26,3.0,667,No,1,92740.96
Male,High School,95298.0,Rent,19200.0,Venture,10.74,0.26,3.0,676,No,1,93235.92
Male,Associate,166754.0,Own,10000.0,Venture,10.25,0.04,4.0,570,Yes,0,165729.0
Male,High School,166754.0,Mortgage,19200.0,Education,12.42,0.16,2.0,623,No,0,164369.36
Female,Bachelor,166754.0,Rent,15000.0,Venture,15.27,0.07,2.0,652,Yes,0,164463.5
Female,High School,75240.0,Rent,19200.0,Medical,15.33,0.31,2.0,625,No,1,72296.64
Female,High School,96143.0,Rent,19200.0,Venture,15.21,0.26,2.0,642,No,1,93222.68
Male,Bachelor,28367.0,Own,6250.0,Venture,14.72,0.31,2.0,580,No,1,27447.0
Male,Associate,96627.0,Rent,19200.0,Personal,15.7,0.26,2.0,622,No,1,93612.6
Male,Bachelor,96309.0,Rent,19200.0,Education,13.35,0.26,4.0,581,No,1,93745.8
Female,High School,28367.0,Mortgage,3000.0,Medical,11.01,0.08,4.0,623,No,0,28036.7
Male,Master,96836.0,Rent,19200.0,Education,6.62,0.26,2.0,583,No,1,95564.96
Male,Bachelor,96947.0,Rent,19200.0,Debtconsolidation,13.61,0.26,4.0,645,No,1,94333.88
Female,Associate,166754.0,Rent,19200.0,Medical,11.36,0.11,2.0,593,Yes,0,164572.88
Male,Associate,166754.0,Own,5000.0,Personal,7.68,0.03,2.0,659,Yes,0,166370.0
Female,Bachelor,166754.0,Rent,19200.0,Homeimprovement,14.46,0.1,4.0,655,Yes,0,163977.68
Male,Associate,166754.0,Own,3000.0,Education,11.83,0.03,2.0,583,Yes,0,166399.1
Female,Associate,166754.0,Mortgage,19200.0,Debtconsolidation,13.47,0.1,4.0,582,No,1,164167.76
Female,Bachelor,166754.0,Mortgage,19200.0,Medical,11.49,0.09,3.0,539,Yes,0,164547.92
Male,High School,166754.0,Mortgage,3000.0,Education,11.01,0.03,2.0,551,Yes,0,166423.7
Female,Associate,166754.0,Mortgage,15000.0,Personal,6.17,0.07,3.0,539,Yes,0,165828.5
Female,Bachelor,89818.0,Rent,19200.0,Debtconsolidation,16.0,0.28,4.0,674,No,1,86746.0
Female,High School,90006.0,Rent,19200.0,Debtconsolidation,11.01,0.28,4.0,595,No,1,87892.08
Female,High School,98704.0,Rent,19200.0,Debtconsolidation,7.29,0.25,3.0,597,No,1,97304.32
Male,High School,98967.0,Rent,19200.0,Medical,11.36,0.25,3.0,566,No,1,96785.88
Male,High School,99435.0,Rent,19200.0,Venture,10.25,0.25,2.0,666,No,0,97467.0
Female,Bachelor,100658.0,Rent,19200.0,Education,11.12,0.25,3.0,695,No,0,98522.96
Female,Bachelor,100435.0,Rent,19200.0,Personal,12.92,0.25,3.0,576,Yes,0,97954.36
Male,High School,166754.0,Rent,18000.0,Education,16.0,0.08,4.0,651,Yes,0,163874.0
Female,Bachelor,166754.0,Mortgage,19200.0,Personal,7.51,0.13,3.0,633,Yes,0,165312.08
Male,Master,28367.0,Own,4000.0,Homeimprovement,16.0,0.22,2.0,566,No,1,27727.0
Male,Master,28367.0,Own,3000.0,Personal,11.14,0.11,4.0,583,No,0,28032.8
Female,Associate,102317.0,Rent,19200.0,Personal,16.0,0.24,4.0,586,Yes,0,99245.0
Female,Associate,103400.0,Rent,19200.0,Medical,10.62,0.24,4.0,592,Yes,0,101360.96
Male,Bachelor,166754.0,Mortgage,14000.0,Venture,11.99,0.06,2.0,598,Yes,0,165075.4
Male,Master,166754.0,Mortgage,12000.0,Venture,9.63,0.06,4.0,637,Yes,0,165598.4
Female,High School,166754.0,Mortgage,10000.0,Medical,16.0,0.06,4.0,628,No,1,165154.0
Male,Master,28367.0,Mortgage,6000.0,Debtconsolidation,11.01,0.31,4.0,667,No,1,27706.4
Male,Associate,105349.0,Rent,19200.0,Homeimprovement,14.84,0.24,3.0,621,Yes,0,102499.72
Male,Bachelor,91184.0,Rent,19200.0,Venture,14.7,0.27,3.0,668,No,1,88361.6
Female,High School,91886.0,Rent,19200.0,Debtconsolidation,16.0,0.27,4.0,544,No,1,88814.0
Male,Associate,80452.0,Rent,19200.0,Medical,15.37,0.31,2.0,699,No,1,77500.96
Female,Bachelor,108758.0,Rent,19200.0,Medical,10.99,0.23,4.0,611,No,0,106647.92
Male,Associate,28367.0,Own,6200.0,Homeimprovement,7.9,0.31,2.0,615,No,1,27877.2
Female,High School,166754.0,Own,19200.0,Personal,10.99,0.12,4.0,559,Yes,0,164643.92
Female,High School,166754.0,Own,19200.0,Education,11.48,0.1,3.0,577,Yes,0,164549.84
Male,High School,166754.0,Own,19200.0,Medical,14.26,0.09,4.0,657,Yes,0,164016.08
Male,Associate,166754.0,Own,10000.0,Homeimprovement,8.0,0.05,4.0,676,Yes,0,165954.0
Male,Bachelor,166754.0,Mortgage,9950.0,Venture,11.26,0.05,2.0,601,No,0,165633.63
Female,Master,28367.0,Own,4475.0,Medical,11.01,0.24,4.0,647,No,1,27874.3025
Female,Master,94363.0,Rent,19200.0,Venture,16.0,0.26,3.0,576,No,1,91291.0
Male,Master,80570.0,Rent,19200.0,Medical,16.0,0.31,4.0,612,No,1,77498.0
Male,Bachelor,109167.0,Rent,19200.0,Debtconsolidation,11.36,0.23,3.0,678,No,0,106985.88
Female,Associate,95753.0,Rent,19200.0,Debtconsolidation,14.96,0.26,4.0,542,No,1,92880.68
Female,Associate,110935.0,Rent,19200.0,Personal,13.43,0.23,3.0,703,Yes,0,108356.44
Male,Associate,111490.0,Rent,19200.0,Homeimprovement,12.69,0.22,3.0,622,Yes,0,109053.52
