no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,total_assets_value
2, Not Graduate, No,9800000,25300000,12,313, Rejected,60200000
2, Graduate, No,5700000,12000000,6,363, Rejected,37000000
1, Not Graduate, Yes,800000,1600000,10,436, Rejected,4100000
5, Not Graduate, Yes,8400000,22000000,2,830, Approved,33000000
3, Graduate, No,4900000,11900000,8,612, Approved,35700000
2, Graduate, Yes,1700000,3400000,8,691, Approved,12400000
3, Not Graduate, No,1600000,6200000,18,636, Approved,10800000
5, Graduate, Yes,8000000,27200000,6,348, Rejected,30500000
5, Graduate, No,3600000,7700000,16,830, Approved,21200000
3, Not Graduate, Yes,1500000,5100000,6,352, Rejected,6800000
1, Graduate, No,7800000,18100000,2,712, Approved,50500000
2, Not Graduate, No,9100000,24900000,16,822, Approved,70600000
3, Graduate, No,1400000,3400000,6,540, Rejected,6400000
2, Graduate, Yes,800000,2300000,12,342, Rejected,6100000
5, Graduate, No,6500000,13400000,18,787, Approved,40100000
4, Graduate, No,8000000,27800000,16,331, Rejected,51600000
3, Not Graduate, Yes,4200000,14600000,6,679, Approved,22900000
1, Graduate, Yes,4900000,19100000,14,677, Approved,38700000
3, Not Graduate, No,5500000,20500000,12,634, Approved,36100000
1, Not Graduate, Yes,9500000,19100000,16,662, Approved,60000000
4, Graduate, No,7300000,25400000,16,502, Rejected,33300000
2, Graduate, No,8700000,24700000,10,435, Rejected,43400000
5, Not Graduate, No,3800000,7600000,4,689, Approved,21500000
1, Not Graduate, Yes,8400000,23000000,12,657, Approved,70300000
2, Graduate, Yes,5100000,19700000,20,590, Approved,39500000
5, Not Graduate, No,6700000,24500000,12,818, Approved,29300000
2, Not Graduate, No,4300000,10600000,18,431, Rejected,18100000
5, Graduate, Yes,9300000,30500000,18,841, Approved,72900000
1, Graduate, No,7400000,18400000,20,421, Rejected,49200000
4, Not Graduate, Yes,5500000,18200000,16,797, Approved,28200000
2, Not Graduate, No,8500000,18900000,18,478, Rejected,77400000
3, Not Graduate, Yes,9600000,30500000,18,669, Approved,42400000
5, Not Graduate, Yes,8800000,28900000,6,365, Rejected,65100000
3, Not Graduate, Yes,3300000,7500000,20,586, Approved,20600000
4, Graduate, Yes,3900000,12300000,18,784, Approved,30400000
1, Graduate, No,4100000,10300000,12,364, Rejected,33300000
3, Not Graduate, No,8300000,29100000,10,715, Approved,54000000
0, Not Graduate, Yes,2700000,10100000,20,693, Rejected,9200000
4, Graduate, No,5600000,12400000,4,777, Approved,25900000
0, Graduate, No,1900000,5000000,12,312, Rejected,14100000
4, Not Graduate, Yes,500000,1500000,20,340, Rejected,2800000
5, Graduate, Yes,5300000,18600000,4,386, Approved,28500000
5, Not Graduate, No,7000000,18300000,4,418, Rejected,59200000
3, Not Graduate, Yes,5800000,16700000,16,735, Approved,31500000
2, Not Graduate, No,2600000,8400000,6,494, Rejected,17900000
2, Not Graduate, No,1900000,6500000,18,671, Approved,9000000
4, Graduate, No,5700000,14800000,16,697, Approved,41300000
0, Graduate, No,9000000,33500000,8,801, Approved,67000000
2, Not Graduate, No,8500000,29400000,12,576, Approved,57400000
0, Not Graduate, No,700000,1400000,14,639, Approved,5900000
4, Graduate, No,3500000,8900000,4,470, Rejected,17800000
0, Not Graduate, No,8800000,31200000,4,826, Approved,45300000
2, Not Graduate, Yes,9900000,21200000,16,363, Rejected,70300000
3, Graduate, No,3600000,8600000,20,613, Approved,23300000
3, Not Graduate, Yes,3000000,8200000,16,713, Approved,25500000
2, Graduate, No,6800000,21200000,16,439, Rejected,48700000
5, Not Graduate, Yes,1100000,3800000,18,387, Rejected,7900000
1, Not Graduate, Yes,8700000,28300000,8,402, Rejected,72100000
4, Graduate, Yes,2000000,8000000,6,837, Approved,14500000
2, Not Graduate, No,9800000,37600000,10,641, Approved,55100000
4, Graduate, No,5700000,21100000,18,489, Rejected,23300000
4, Graduate, No,8800000,20700000,18,540, Rejected,57500000
4, Graduate, No,3800000,8900000,4,844, Approved,30400000
1, Graduate, No,1700000,6400000,10,452, Rejected,9700000
2, Graduate, No,1000000,2000000,10,366, Rejected,6100000
5, Graduate, No,300000,1100000,2,300, Approved,1700000
2, Graduate, Yes,6600000,15000000,18,470, Rejected,31200000
2, Not Graduate, No,8700000,25000000,20,861, Approved,53700000
4, Graduate, No,9400000,29400000,12,562, Approved,84600000
0, Graduate, No,4400000,10800000,14,463, Rejected,25700000
4, Not Graduate, No,400000,900000,12,478, Rejected,2100000
2, Not Graduate, Yes,300000,1100000,2,702, Approved,1200000
2, Not Graduate, Yes,4300000,12900000,20,618, Approved,28800000
4, Graduate, No,1600000,4500000,12,633, Approved,8400000
5, Not Graduate, Yes,6200000,23600000,10,331, Rejected,61300000
3, Not Graduate, Yes,4200000,9700000,16,841, Approved,29900000
4, Not Graduate, Yes,9000000,18100000,12,764, Approved,49500000
0, Graduate, No,2700000,10600000,6,591, Approved,15700000
1, Graduate, Yes,9700000,35900000,2,719, Approved,58500000
2, Graduate, No,3300000,6800000,14,317, Rejected,19000000
0, Not Graduate, No,300000,1100000,8,778, Approved,2000000
3, Graduate, Yes,7400000,18200000,14,302, Rejected,31600000
5, Not Graduate, No,7100000,19700000,8,502, Rejected,48000000
5, Not Graduate, Yes,7300000,22100000,18,879, Approved,59200000
1, Not Graduate, No,8400000,23400000,14,437, Rejected,62700000
0, Not Graduate, Yes,3300000,10800000,12,797, Approved,17600000
4, Not Graduate, Yes,5800000,23200000,18,456, Rejected,50400000
0, Not Graduate, No,600000,1600000,6,647, Approved,4300000
0, Not Graduate, No,7200000,15800000,12,379, Rejected,50000000
1, Not Graduate, Yes,9100000,32900000,2,717, Approved,33700000
5, Graduate, No,900000,2300000,16,545, Rejected,3800000
2, Graduate, No,800000,3200000,8,317, Rejected,4200000
1, Not Graduate, No,8500000,32900000,10,570, Approved,37300000
0, Not Graduate, Yes,9000000,18700000,18,865, Approved,59000000
3, Graduate, No,7000000,19500000,14,719, Approved,50900000
3, Graduate, No,200000,600000,16,821, Approved,1100000
4, Not Graduate, Yes,400000,800000,10,859, Approved,2400000
3, Not Graduate, No,5100000,18200000,10,395, Rejected,29900000
2, Not Graduate, Yes,700000,2600000,12,429, Rejected,6400000
3, Graduate, No,400000,1200000,12,861, Approved,2100000
0, Not Graduate, Yes,9500000,20800000,14,565, Approved,74300000
5, Graduate, No,8800000,22600000,10,357, Rejected,39600000
3, Not Graduate, Yes,1800000,3600000,18,465, Rejected,9100000
4, Not Graduate, Yes,6800000,13900000,8,479, Rejected,56100000
3, Not Graduate, No,1500000,5500000,16,717, Approved,8600000
3, Graduate, No,1600000,5500000,12,425, Rejected,7700000
2, Not Graduate, No,4600000,16700000,2,786, Approved,26100000
5, Not Graduate, Yes,2200000,6700000,6,382, Rejected,15400000
3, Not Graduate, Yes,2900000,8500000,12,564, Approved,13400000
0, Graduate, No,200000,700000,8,501, Rejected,1500000
2, Not Graduate, Yes,2500000,9400000,10,727, Approved,23500000
4, Not Graduate, No,3600000,7500000,6,894, Approved,17800000
0, Graduate, Yes,5500000,16700000,18,829, Approved,25500000
4, Not Graduate, No,6600000,17400000,20,506, Rejected,45700000
2, Graduate, Yes,8600000,32100000,6,802, Approved,60400000
5, Not Graduate, No,600000,1500000,14,543, Rejected,3600000
3, Graduate, Yes,1400000,3200000,20,772, Approved,10000000
3, Graduate, No,4000000,11100000,12,572, Approved,24700000
0, Not Graduate, Yes,4900000,11900000,16,709, Approved,37800000
5, Graduate, No,2000000,6200000,18,402, Rejected,14400000
1, Not Graduate, Yes,5200000,19300000,8,481, Rejected,46800000
5, Graduate, Yes,8900000,28800000,6,772, Approved,47900000
1, Graduate, Yes,6500000,20600000,2,306, Approved,39100000
2, Not Graduate, No,1300000,4500000,6,415, Rejected,5000000
3, Not Graduate, No,9400000,35000000,16,548, Rejected,63500000
5, Not Graduate, No,5000000,11200000,8,701, Approved,28200000
2, Graduate, No,3000000,7700000,12,890, Approved,19500000
5, Not Graduate, Yes,9900000,33300000,6,364, Rejected,60100000
5, Graduate, Yes,700000,1300000,20,704, Approved,4400000
3, Graduate, Yes,4000000,10600000,10,318, Rejected,19500000
5, Not Graduate, No,3100000,9600000,2,761, Approved,22200000
4, Not Graduate, No,4500000,15100000,6,693, Approved,29000000
3, Not Graduate, No,9700000,20600000,16,524, Rejected,68800000
2, Not Graduate, Yes,2000000,5300000,10,681, Approved,13500000
2, Graduate, Yes,8100000,22300000,18,737, Approved,69200000
0, Not Graduate, No,5700000,15900000,16,638, Approved,30400000
4, Not Graduate, No,5800000,12800000,2,656, Approved,24300000
1, Graduate, No,1800000,6500000,6,540, Rejected,11800000
4, Not Graduate, Yes,9100000,35200000,6,341, Rejected,32600000
0, Not Graduate, Yes,4800000,17500000,2,371, Approved,40700000
3, Not Graduate, Yes,3800000,10500000,12,886, Approved,21700000
0, Not Graduate, No,1900000,4100000,18,801, Approved,7200000
3, Not Graduate, Yes,3600000,9500000,16,748, Approved,22400000
2, Not Graduate, Yes,7400000,28200000,8,376, Rejected,49500000
4, Not Graduate, Yes,6600000,14300000,8,371, Rejected,46200000
2, Graduate, No,1800000,5300000,6,826, Approved,13000000
4, Not Graduate, No,9200000,27200000,12,873, Approved,51500000
5, Not Graduate, Yes,2400000,8600000,8,309, Rejected,9600000
4, Not Graduate, No,5600000,13300000,20,869, Approved,37300000
5, Graduate, No,3800000,13900000,12,534, Rejected,18600000
3, Not Graduate, Yes,4500000,17900000,6,787, Approved,31900000
0, Graduate, Yes,900000,2200000,16,566, Approved,3400000
0, Not Graduate, No,2800000,9900000,8,742, Approved,14600000
2, Not Graduate, No,7500000,23100000,4,824, Approved,58800000
4, Graduate, No,1400000,3100000,14,575, Approved,11400000
2, Graduate, Yes,3800000,10900000,10,766, Approved,17400000
1, Not Graduate, Yes,1700000,5000000,10,888, Approved,10100000
3, Graduate, Yes,9000000,30400000,6,638, Approved,63900000
5, Not Graduate, Yes,7300000,23300000,6,622, Approved,55600000
1, Not Graduate, No,7400000,19800000,18,458, Rejected,50500000
1, Not Graduate, No,9000000,28200000,16,327, Rejected,39200000
0, Not Graduate, No,3000000,6500000,2,612, Approved,20600000
1, Graduate, No,800000,2900000,8,682, Approved,6900000
2, Graduate, No,4800000,13200000,2,583, Approved,34200000
5, Not Graduate, No,6400000,18300000,8,697, Approved,39700000
3, Graduate, No,9200000,27100000,12,306, Rejected,54900000
4, Not Graduate, Yes,400000,1500000,2,669, Approved,1900000
2, Not Graduate, No,2800000,6000000,18,816, Approved,21900000
4, Not Graduate, Yes,8500000,28900000,20,455, Rejected,52900000
3, Graduate, Yes,4700000,16400000,10,318, Rejected,40000000
4, Not Graduate, Yes,9800000,21200000,20,355, Rejected,77100000
2, Not Graduate, Yes,3800000,8900000,16,389, Rejected,20200000
2, Graduate, No,500000,1500000,2,888, Approved,3900000
2, Graduate, Yes,6900000,15600000,6,352, Rejected,50900000
4, Not Graduate, Yes,9600000,30100000,12,870, Approved,50800000
3, Not Graduate, No,2900000,6500000,18,827, Approved,22500000
2, Graduate, No,9800000,20900000,12,768, Approved,65600000
0, Graduate, No,7100000,15400000,18,707, Approved,46500000
1, Not Graduate, Yes,7700000,19100000,10,355, Rejected,44700000
3, Graduate, No,1400000,3300000,2,652, Approved,7600000
3, Graduate, No,7800000,15900000,2,665, Approved,47900000
5, Not Graduate, Yes,1700000,6000000,18,420, Rejected,8100000
2, Not Graduate, No,8500000,32700000,18,471, Rejected,68400000
5, Not Graduate, No,1900000,7500000,20,715, Approved,17200000
2, Not Graduate, Yes,6700000,15200000,10,689, Approved,30000000
3, Graduate, Yes,6900000,16400000,4,787, Approved,47400000
2, Graduate, No,2600000,7800000,4,819, Approved,14600000
4, Graduate, Yes,9600000,21100000,6,809, Approved,69000000
1, Not Graduate, Yes,6800000,17000000,2,744, Approved,46600000
0, Not Graduate, No,3200000,11300000,6,484, Rejected,19600000
4, Not Graduate, No,2900000,10400000,6,673, Approved,19100000
3, Graduate, Yes,7900000,21200000,18,695, Approved,51100000
4, Not Graduate, Yes,3900000,12400000,12,473, Rejected,28000000
4, Graduate, Yes,4600000,11000000,2,491, Rejected,32600000
3, Not Graduate, Yes,700000,1700000,8,733, Approved,4900000
0, Not Graduate, No,5200000,15600000,20,434, Rejected,43500000
3, Not Graduate, Yes,5900000,20600000,10,777, Approved,34100000
4, Graduate, No,7200000,19100000,4,774, Approved,37900000
1, Not Graduate, Yes,8700000,27000000,10,717, Approved,60700000
3, Not Graduate, Yes,1100000,3500000,12,503, Rejected,6800000
1, Graduate, Yes,4000000,10900000,14,598, Approved,28200000
2, Graduate, No,9800000,32400000,2,543, Approved,75100000
0, Not Graduate, Yes,2700000,6800000,20,796, Approved,13800000
3, Not Graduate, Yes,8800000,34600000,8,386, Rejected,55700000
5, Not Graduate, Yes,3300000,7800000,16,632, Approved,21000000
1, Graduate, Yes,6900000,23400000,4,481, Approved,53400000
3, Graduate, Yes,900000,3500000,4,770, Rejected,3300000
3, Graduate, Yes,4100000,15500000,6,667, Approved,23100000
3, Not Graduate, Yes,4700000,17500000,8,585, Approved,18800000
5, Graduate, Yes,3400000,11600000,16,479, Rejected,28500000
2, Graduate, No,9600000,22500000,18,851, Approved,60600000
3, Not Graduate, Yes,7000000,16200000,6,378, Rejected,58400000
5, Graduate, No,5700000,12900000,18,807, Approved,29100000
1, Not Graduate, Yes,8200000,32400000,18,831, Approved,60600000
2, Not Graduate, No,2100000,5100000,12,674, Approved,14200000
1, Not Graduate, Yes,8000000,28100000,18,725, Approved,45200000
2, Not Graduate, No,8000000,29300000,4,600, Approved,65600000
0, Not Graduate, Yes,9400000,27000000,10,536, Rejected,44700000
0, Graduate, No,8400000,20600000,10,477, Rejected,39900000
1, Not Graduate, Yes,1900000,5000000,6,560, Approved,10600000
0, Not Graduate, Yes,4200000,16400000,20,539, Rejected,26100000
5, Graduate, No,2600000,9100000,8,852, Approved,18000000
3, Not Graduate, No,3700000,8500000,20,853, Approved,26400000
0, Graduate, No,8800000,30900000,12,729, Approved,39500000
2, Not Graduate, No,2100000,4700000,2,546, Rejected,16400000
3, Graduate, Yes,900000,2400000,10,489, Rejected,4100000
3, Graduate, Yes,9800000,35400000,6,869, Approved,63900000
2, Not Graduate, No,8000000,20000000,2,502, Rejected,47800000
0, Graduate, No,9800000,38800000,8,652, Approved,77300000
0, Not Graduate, Yes,300000,1100000,8,789, Approved,1700000
4, Not Graduate, No,2700000,8100000,4,325, Approved,19100000
3, Graduate, Yes,7400000,19600000,2,716, Approved,46300000
3, Graduate, No,9200000,34300000,18,523, Rejected,67500000
5, Not Graduate, No,9500000,22200000,20,352, Rejected,62300000
5, Graduate, Yes,3800000,14400000,2,345, Approved,21800000
0, Graduate, No,8300000,19400000,18,649, Approved,54200000
2, Graduate, Yes,2800000,7400000,18,666, Approved,12100000
0, Graduate, No,8600000,20900000,10,813, Approved,54000000
0, Not Graduate, No,5400000,16800000,10,599, Approved,34800000
5, Graduate, Yes,4200000,9400000,6,678, Approved,25800000
5, Not Graduate, No,5200000,12200000,20,513, Rejected,37600000
5, Graduate, No,9400000,27900000,4,870, Approved,41200000
3, Graduate, No,8800000,20400000,8,483, Rejected,54600000
1, Graduate, Yes,5900000,16700000,16,308, Rejected,39000000
3, Graduate, Yes,1700000,4900000,16,591, Approved,11400000
1, Not Graduate, No,7000000,23000000,10,886, Approved,48000000
4, Not Graduate, No,1700000,4000000,6,829, Approved,8500000
0, Not Graduate, No,1500000,4900000,12,651, Approved,9800000
4, Not Graduate, No,2000000,4700000,18,733, Approved,17200000
5, Graduate, Yes,3900000,15500000,12,433, Rejected,27400000
1, Graduate, Yes,900000,3600000,14,713, Approved,5300000
1, Graduate, No,6900000,22500000,18,403, Rejected,32400000
0, Graduate, Yes,2800000,7800000,10,405, Rejected,20800000
3, Graduate, Yes,6800000,19900000,10,516, Rejected,56500000
4, Not Graduate, Yes,600000,1800000,8,417, Rejected,5000000
1, Not Graduate, No,4700000,14000000,6,468, Rejected,28300000
5, Graduate, Yes,3000000,11800000,10,672, Approved,26200000
5, Not Graduate, No,4000000,13900000,6,530, Rejected,30100000
1, Not Graduate, Yes,3100000,11300000,14,824, Approved,25100000
1, Not Graduate, Yes,7700000,25500000,12,549, Rejected,56200000
5, Not Graduate, Yes,4300000,9300000,10,450, Rejected,22900000
1, Graduate, Yes,5800000,19500000,20,431, Rejected,37700000
3, Graduate, Yes,3600000,10700000,16,312, Rejected,22200000
0, Not Graduate, Yes,2900000,7600000,8,320, Rejected,26300000
0, Graduate, No,8800000,20200000,4,433, Rejected,63100000
1, Not Graduate, Yes,300000,1000000,10,431, Rejected,1900000
5, Not Graduate, Yes,8600000,28900000,8,516, Rejected,48700000
2, Not Graduate, Yes,3500000,12000000,14,476, Rejected,23200000
5, Graduate, No,800000,2600000,6,560, Approved,4300000
2, Graduate, No,8000000,27100000,12,674, Approved,46500000
0, Not Graduate, Yes,9900000,38200000,6,573, Approved,53200000
2, Not Graduate, No,3300000,6600000,6,331, Rejected,19900000
4, Graduate, Yes,2000000,6700000,12,633, Approved,7700000
3, Not Graduate, No,4900000,12900000,18,877, Approved,30000000
5, Not Graduate, Yes,9200000,23600000,12,656, Approved,53900000
0, Not Graduate, No,7500000,18200000,6,782, Approved,43300000
5, Not Graduate, No,9000000,29300000,4,531, Approved,61200000
3, Not Graduate, No,1400000,4100000,8,455, Rejected,9400000
3, Graduate, No,9600000,19900000,14,452, Rejected,55500000
2, Graduate, No,8400000,33200000,14,474, Rejected,71500000
3, Not Graduate, No,6400000,24400000,4,483, Approved,33800000
4, Graduate, No,5900000,16800000,8,481, Rejected,41100000
2, Graduate, Yes,2200000,5100000,20,859, Approved,14500000
4, Graduate, Yes,5600000,14100000,14,696, Approved,41500000
4, Not Graduate, No,9800000,28700000,6,778, Approved,64800000
4, Graduate, No,4400000,14600000,4,499, Approved,29600000
2, Not Graduate, Yes,2400000,4900000,4,888, Approved,19200000
1, Graduate, No,4400000,10800000,12,674, Approved,34800000
4, Graduate, No,3700000,13200000,4,802, Approved,29000000
4, Not Graduate, Yes,2300000,7800000,8,540, Rejected,12400000
4, Graduate, Yes,5900000,19600000,8,726, Approved,52300000
4, Not Graduate, Yes,6400000,23500000,2,485, Approved,37500000
4, Graduate, Yes,4900000,17100000,6,612, Approved,32800000
3, Not Graduate, Yes,9500000,24200000,8,879, Approved,59400000
2, Not Graduate, No,5700000,16400000,12,708, Approved,23900000
2, Not Graduate, Yes,2700000,5700000,8,850, Approved,22900000
2, Not Graduate, Yes,3900000,11300000,12,516, Rejected,18100000
0, Not Graduate, No,7800000,28800000,12,465, Rejected,48400000
0, Graduate, No,1100000,3200000,20,716, Approved,8300000
4, Not Graduate, No,200000,600000,10,404, Rejected,500000
0, Not Graduate, Yes,4700000,10600000,20,512, Rejected,31700000
3, Not Graduate, Yes,8200000,20600000,10,441, Rejected,62700000
2, Not Graduate, Yes,4600000,18400000,2,555, Approved,28500000
5, Not Graduate, No,1800000,7000000,18,466, Rejected,12600000
3, Graduate, Yes,3200000,8600000,2,427, Rejected,17500000
4, Not Graduate, Yes,5500000,20000000,14,593, Approved,42600000
3, Graduate, No,7900000,18300000,10,731, Approved,38200000
1, Graduate, Yes,4000000,10100000,16,451, Rejected,29100000
3, Not Graduate, Yes,6800000,16900000,18,628, Approved,25000000
1, Not Graduate, No,2700000,9400000,18,704, Approved,16400000
2, Not Graduate, No,6800000,23500000,12,341, Rejected,53900000
5, Graduate, No,8600000,21000000,8,465, Rejected,56000000
4, Graduate, No,8000000,30100000,4,431, Approved,56000000
1, Graduate, Yes,3700000,12600000,10,424, Rejected,25100000
0, Graduate, No,2600000,5100000,14,678, Approved,10800000
4, Graduate, No,4200000,16800000,6,381, Rejected,34100000
5, Graduate, Yes,8000000,28000000,10,449, Rejected,41300000
1, Not Graduate, No,7100000,23500000,12,768, Approved,48200000
0, Not Graduate, No,2000000,7000000,6,666, Rejected,6900000
4, Not Graduate, Yes,5800000,13300000,14,742, Approved,48700000
3, Not Graduate, Yes,6700000,15800000,4,445, Rejected,41300000
2, Graduate, No,7300000,28700000,14,634, Approved,41700000
4, Not Graduate, No,3300000,9700000,14,782, Approved,15100000
0, Graduate, No,3000000,7000000,10,781, Approved,22200000
4, Not Graduate, No,7900000,17200000,14,318, Rejected,55900000
5, Not Graduate, No,7600000,24100000,18,721, Approved,63500000
5, Not Graduate, No,3700000,9800000,4,563, Approved,28800000
2, Not Graduate, No,8400000,26300000,4,419, Approved,66200000
0, Graduate, Yes,8200000,20800000,14,372, Rejected,35200000
0, Not Graduate, No,2900000,9500000,18,885, Approved,16600000
1, Not Graduate, Yes,9900000,38400000,12,596, Approved,62600000
0, Graduate, No,4400000,14100000,2,349, Approved,19600000
1, Not Graduate, Yes,9000000,32200000,16,468, Rejected,60400000
3, Not Graduate, Yes,6800000,26900000,16,818, Approved,58700000
2, Not Graduate, No,8700000,28000000,12,543, Rejected,52500000
3, Graduate, No,9400000,21900000,16,685, Approved,53200000
3, Not Graduate, Yes,6000000,12500000,18,851, Approved,41400000
1, Not Graduate, Yes,9400000,29800000,10,377, Rejected,85200000
0, Not Graduate, Yes,1000000,4000000,10,620, Approved,8500000
3, Graduate, Yes,900000,2300000,20,611, Approved,4500000
4, Not Graduate, No,2100000,7700000,4,767, Approved,11100000
5, Graduate, Yes,1100000,3200000,20,592, Approved,7900000
0, Graduate, Yes,600000,2300000,4,319, Approved,5400000
4, Not Graduate, Yes,9200000,25500000,10,900, Approved,60100000
2, Not Graduate, Yes,3600000,12800000,18,814, Approved,27100000
5, Not Graduate, Yes,1300000,5000000,10,755, Approved,11000000
5, Graduate, Yes,7700000,16800000,20,584, Approved,44800000
4, Graduate, Yes,9500000,23500000,14,380, Rejected,62000000
2, Not Graduate, Yes,5000000,17600000,20,465, Rejected,33100000
0, Not Graduate, No,500000,1800000,2,531, Approved,4400000
1, Graduate, Yes,8300000,32100000,16,814, Approved,57600000
0, Graduate, No,5300000,17900000,6,678, Approved,26600000
2, Not Graduate, Yes,9300000,29000000,12,655, Approved,49500000
3, Not Graduate, No,2300000,7400000,2,682, Approved,18600000
1, Not Graduate, No,400000,1300000,6,695, Approved,1600000
3, Not Graduate, No,3200000,10800000,4,833, Approved,14900000
5, Not Graduate, Yes,9400000,35300000,16,302, Rejected,66500000
1, Graduate, No,2300000,6600000,2,357, Rejected,14300000
5, Not Graduate, No,4300000,14500000,12,302, Rejected,34400000
0, Graduate, Yes,6200000,22400000,18,873, Approved,46300000
0, Not Graduate, Yes,7200000,19800000,12,658, Approved,53100000
5, Graduate, Yes,2400000,8700000,18,877, Approved,13900000
3, Not Graduate, No,2900000,6300000,8,648, Approved,15800000
1, Graduate, No,1400000,5200000,12,730, Approved,7300000
4, Not Graduate, Yes,2200000,8200000,14,737, Approved,18200000
2, Graduate, Yes,800000,3200000,10,584, Rejected,3000000
0, Graduate, No,600000,1700000,2,621, Approved,3000000
4, Graduate, Yes,700000,2700000,16,583, Approved,4000000
2, Not Graduate, No,8400000,25900000,16,621, Approved,59700000
2, Not Graduate, No,7100000,21500000,16,610, Approved,41400000
4, Graduate, No,5400000,15700000,18,452, Rejected,39400000
5, Graduate, No,3700000,7300000,18,339, Rejected,28600000
3, Graduate, Yes,5200000,15200000,16,650, Approved,24600000
4, Not Graduate, Yes,200000,700000,10,672, Approved,1000000
3, Graduate, No,500000,1000000,20,501, Rejected,2700000
2, Not Graduate, Yes,1800000,5700000,4,809, Approved,11800000
5, Graduate, Yes,9200000,29400000,8,318, Rejected,63100000
4, Not Graduate, No,900000,3300000,10,649, Approved,3400000
3, Not Graduate, No,7500000,28300000,12,367, Rejected,50200000
5, Not Graduate, No,3000000,11800000,6,847, Approved,19800000
5, Graduate, No,7100000,18900000,12,360, Rejected,40100000
1, Graduate, Yes,3500000,7200000,2,865, Approved,23400000
4, Not Graduate, No,4900000,18800000,16,880, Approved,24700000
1, Graduate, No,4100000,8400000,20,608, Approved,23800000
0, Graduate, Yes,800000,2100000,6,760, Approved,2600000
3, Graduate, Yes,1700000,4600000,12,385, Rejected,9700000
0, Graduate, Yes,6100000,23300000,12,478, Rejected,28700000
1, Graduate, Yes,2100000,7700000,16,327, Rejected,12500000
0, Graduate, No,3100000,9300000,6,663, Approved,14600000
2, Not Graduate, Yes,1700000,3500000,20,693, Approved,10100000
3, Graduate, No,1700000,5400000,6,710, Approved,13000000
4, Not Graduate, Yes,4000000,14500000,6,711, Approved,23100000
5, Graduate, No,5600000,18400000,8,386, Rejected,34900000
4, Graduate, Yes,3900000,11900000,10,855, Approved,27200000
4, Graduate, Yes,6100000,15300000,14,573, Approved,32700000
0, Graduate, Yes,1100000,2800000,18,431, Rejected,6500000
2, Graduate, No,5500000,14800000,8,364, Rejected,34600000
4, Graduate, Yes,1100000,3600000,14,711, Approved,7200000
4, Not Graduate, Yes,400000,900000,20,771, Approved,3600000
3, Graduate, No,9200000,36400000,18,669, Approved,59000000
4, Not Graduate, Yes,9300000,27500000,18,338, Rejected,63500000
1, Graduate, No,1100000,3500000,8,562, Approved,7200000
3, Not Graduate, No,5600000,18700000,2,769, Approved,38300000
0, Graduate, Yes,6300000,21500000,8,629, Approved,31200000
3, Graduate, No,8800000,18100000,6,699, Approved,36400000
0, Not Graduate, No,8400000,20800000,20,590, Approved,56900000
3, Graduate, Yes,1600000,5700000,4,707, Approved,14500000
3, Not Graduate, Yes,4500000,11400000,8,391, Rejected,29700000
5, Not Graduate, No,6500000,18500000,4,891, Approved,47600000
3, Graduate, Yes,9500000,20600000,2,731, Approved,47100000
3, Not Graduate, No,4700000,16700000,12,775, Approved,26500000
5, Graduate, Yes,9600000,32400000,2,897, Approved,51900000
5, Graduate, No,8000000,26700000,20,794, Approved,60400000
